County,State,CBSA Code,CBSA Title,Latitude,Longitude
Christian County,Kentucky,17300,"Clarksville, TN-KY",36.8410586,-87.460397
Ciales Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.3360622,-66.4687823
Cidra Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.1757914,-66.1612779
Citrus County,Florida,26140,"Homosassa Springs, FL",28.8848842,-82.5185837
Clackamas County,Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA",45.2023855,-122.1188945
Clark County,Nevada,29820,"Las Vegas-Henderson-Paradise, NV",36.0795613,-115.094045
Clark County,Washington,38900,"Portland-Vancouver-Hillsboro, OR-WA",45.7466471,-122.5194378
Clark County,Indiana,31140,"Louisville/Jefferson County, KY-IN",38.4492903,-85.7256372
Clark County,Ohio,44220,"Springfield, OH",39.8912092,-83.67739279999999
Clark County,Kentucky,30460,"Lexington-Fayette, KY",37.959945,-84.14351359999999
Clarke County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",39.15165830000001,-77.973865
Clarke County,Georgia,12020,"Athens-Clarke County, GA",33.9519347,-83.357567
Clay County,West Virginia,16620,"Charleston, WV",38.4417717,-81.1196075
Clay County,Florida,27260,"Jacksonville, FL",29.9943564,-81.77870209999999
Clay County,Indiana,45460,"Terre Haute, IN",39.36862199999999,-87.14228949999999
Clay County,Minnesota,22020,"Fargo, ND-MN",46.878186,-96.42575889999999
Clay County,Missouri,28140,"Kansas City, MO-KS",39.3176186,-94.479976
Clay County,Texas,48660,"Wichita Falls, TX",33.7900416,-98.2212979
Clayton County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.5571944,-84.375233
Clear Creek County,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.6904464,-105.6412527
Clermont County,Ohio,17140,"Cincinnati, OH-KY-IN",39.0928449,-84.1857115
Cleveland County,Arkansas,38220,"Pine Bluff, AR",33.86580070000001,-92.2236667
Cleveland County,Oklahoma,36420,"Oklahoma City, OK",35.254964,-97.35165579999999
Clinton County,Illinois,41180,"St. Louis, MO-IL",38.56844419999999,-89.62516459999999
Clinton County,Michigan,29620,"Lansing-East Lansing, MI",42.9663458,-84.5222189
Clinton County,Missouri,28140,"Kansas City, MO-KS",39.6481768,-94.479976
Cobb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.8999297,-84.56414699999999
Cochise County,Arizona,43420,"Sierra Vista-Douglas, AZ",31.82845799999999,-109.949686
Coconino County,Arizona,22380,"Flagstaff, AZ",35.6647545,-111.4752851
Colbert County,Alabama,22520,"Florence-Muscle Shoals, AL",34.7117567,-87.89424509999999
Cole County,Missouri,27620,"Jefferson City, MO",38.5052486,-92.2630393
Collier County,Florida,34940,"Naples-Immokalee-Marco Island, FL",26.069985,-81.42789839999999
Collin County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",33.1795213,-96.49297969999999
Colonial Heights city,Virginia,40060,"Richmond, VA",37.244039,-77.4102607
Columbia County,Oregon,38900,"Portland-Vancouver-Hillsboro, OR-WA",45.9197103,-123.0357231
Columbia County,Washington,47460,"Walla Walla, WA",46.2775138,-117.814262
Columbia County,Wisconsin,31540,"Madison, WI",43.40466319999999,-89.3226954
Columbia County,Pennsylvania,14100,"Bloomsburg-Berwick, PA",41.0274439,-76.3637285
Columbia County,Georgia,12260,"Augusta-Richmond County, GA-SC",33.5098514,-82.25832969999999
Comal County,Texas,41700,"San Antonio-New Braunfels, TX",29.8105572,-98.2212979
Comanche County,Oklahoma,30020,"Lawton, OK",34.6612778,-98.3964938
Comerío Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.2192001,-66.2256022
Contra Costa County,California,41860,"San Francisco-Oakland-Hayward, CA",37.8534093,-121.9017954
Cook County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.7376587,-87.697554
Copiah County,Mississippi,27140,"Jackson, MS",31.9012453,-90.37483540000001
Corozal Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.3410622,-66.3168357
Coryell County,Texas,28660,"Killeen-Temple, TX",31.4774358,-97.87216
Cotton County,Oklahoma,30020,"Lawton, OK",34.309094,-98.3964938
Coweta County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.3716708,-84.7315563
Cowlitz County,Washington,31020,"Longview, WA",46.1746472,-122.7746902
Craig County,Virginia,40220,"Roanoke, VA",37.44658950000001,-80.23213129999999
Craighead County,Arkansas,27860,"Jonesboro, AR",35.8260959,-90.6773046
Craven County,North Carolina,35100,"New Bern, NC",35.0877672,-77.0564464
Crawford County,Arkansas,22900,"Fort Smith, AR-OK",35.5762761,-94.315422
Crawford County,Georgia,31420,"Macon-Bibb County, GA",32.7090798,-83.9744262
Creek County,Oklahoma,46140,"Tulsa, OK",35.8362494,-96.3226072
Crittenden County,Arkansas,32820,"Memphis, TN-MS-AR",35.3021443,-90.37483540000001
Crockett County,Tennessee,27180,"Jackson, TN",35.7812386,-89.1324866
Crosby County,Texas,31180,"Lubbock, TX",33.5500004,-101.2523792
Culpeper County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.491821,-77.973865
Cumberland County,Maine,38860,"Portland-South Portland, ME",43.81329789999999,-70.3870587
Cumberland County,New Jersey,47220,"Vineland-Bridgeton, NJ",39.2587106,-75.06111469999999
Cumberland County,Pennsylvania,25420,"Harrisburg-Carlisle, PA",40.1299841,-77.2405153
Cumberland County,North Carolina,22180,"Fayetteville, NC",34.9542604,-78.74762079999999
Currituck County,North Carolina,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",36.4189826,-75.94632399999999
Custer County,South Dakota,39660,"Rapid City, SD",43.6784067,-103.4511768
Cuyahoga County,Ohio,17460,"Cleveland-Elyria, OH",41.433923,-81.67582
Dade County,Georgia,16860,"Chattanooga, TN-GA",34.9109017,-85.47880649999999
Dakota County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",44.731554,-93.17796589999999
Dakota County,Nebraska,43580,"Sioux City, IA-NE-SD",42.4040965,-96.5356449
Dallas County,Iowa,19780,"Des Moines-West Des Moines, IA",41.6120022,-93.9878427
Dallas County,Missouri,44180,"Springfield, MO",37.6853001,-93.0175712
Dallas County,Texas,19100,"Dallas-Fort Worth-Arlington, TX",32.8024682,-96.83509989999999
Dane County,Wisconsin,31540,"Madison, WI",43.0186073,-89.5497632
Darlington County,South Carolina,22500,"Florence, SC",34.3649897,-80.0087746
Dauphin County,Pennsylvania,25420,"Harrisburg-Carlisle, PA",40.2734277,-76.7336521
Davidson County,Tennessee,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",36.1342563,-86.8220341
Davidson County,North Carolina,49180,"Winston-Salem, NC",35.7748479,-80.1875065
Davie County,North Carolina,49180,"Winston-Salem, NC",35.9367033,-80.5882803
Daviess County,Kentucky,36980,"Owensboro, KY",37.7307984,-87.10237459999999
Davis County,Utah,36260,"Ogden-Clearfield, UT",40.9628845,-112.0953297
Dawson County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",34.412912,-84.14351359999999
De Soto Parish,Louisiana,43340,"Shreveport-Bossier City, LA",32.0310567,-93.66232389999999
De Witt County,Illinois,14010,"Bloomington, IL",40.1810363,-88.90306
Dearborn County,Indiana,17140,"Cincinnati, OH-KY-IN",39.1713075,-84.981754
DeKalb County,Illinois,16980,"Chicago-Naperville-Elgin, IL-IN-WI",41.8329981,-88.7108964
DeKalb County,Missouri,41140,"St. Joseph, MO-KS",39.8554602,-94.43879
DeKalb County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.7956441,-84.2278796
