,code,n_killed,n_injured,n_guns_involved,n_incidents
786,43260,7.0,7.0,13.0,12
787,43300,5.0,5.0,21.0,17
788,43320,10.0,5.0,24.0,11
789,43340,91.0,330.0,657.0,517
790,43380,3.0,11.0,38.0,32
791,43420,5.0,14.0,34.0,33
792,43460,11.0,14.0,55.0,40
793,43500,5.0,4.0,18.0,10
794,43580,6.0,19.0,96.0,64
795,43620,12.0,19.0,374.0,208
796,43660,0.0,0.0,1.0,1
797,43700,19.0,12.0,40.0,36
798,43740,7.0,5.0,37.0,25
799,43760,6.0,2.0,22.0,17
800,43780,55.0,118.0,299.0,217
801,43900,29.0,87.0,200.0,180
802,43940,2.0,1.0,9.0,9
803,43980,1.0,2.0,11.0,9
804,44020,2.0,2.0,6.0,5
805,44060,41.0,76.0,382.0,257
806,44100,25.0,75.0,249.0,183
807,44140,39.0,149.0,746.0,565
808,44180,50.0,70.0,375.0,231
809,44220,26.0,59.0,135.0,122
810,44260,10.0,19.0,48.0,36
811,44300,5.0,6.0,49.0,35
812,44340,19.0,22.0,109.0,103
813,44420,7.0,12.0,65.0,51
814,44460,1.0,1.0,3.0,3
815,44500,3.0,5.0,11.0,11
816,44540,3.0,1.0,11.0,4
817,44580,2.0,4.0,11.0,11
818,44620,3.0,3.0,15.0,12
819,44660,12.0,8.0,60.0,31
820,44700,82.0,139.0,640.0,463
821,44740,0.0,3.0,10.0,7
822,44780,3.0,3.0,42.0,16
823,44860,10.0,7.0,18.0,16
824,44900,3.0,5.0,9.0,9
825,44920,1.0,1.0,5.0,5
826,44940,20.0,27.0,137.0,69
827,44980,7.0,10.0,27.0,22
828,45000,6.0,3.0,4.0,3
829,45020,1.0,1.0,3.0,3
830,45060,41.0,170.0,429.0,368
831,45140,8.0,5.0,90.0,26
832,45180,12.0,18.0,35.0,35
833,45220,38.0,75.0,267.0,184
834,45300,173.0,243.0,1402.0,670
835,45340,21.0,9.0,104.0,54
836,45380,5.0,5.0,22.0,7
837,45460,16.0,30.0,103.0,77
838,45500,25.0,38.0,86.0,73
839,45520,3.0,2.0,7.0,6
840,45540,37.0,44.0,278.0,199
841,45580,13.0,12.0,33.0,32
842,45620,8.0,17.0,41.0,37
843,45660,6.0,8.0,19.0,18
844,45700,7.0,10.0,30.0,26
845,45740,7.0,4.0,29.0,17
846,45780,76.0,347.0,585.0,482
847,45820,44.0,93.0,244.0,235
848,45860,13.0,21.0,91.0,56
849,45900,6.0,8.0,92.0,42
850,45940,94.0,286.0,778.0,627
851,45980,12.0,28.0,40.0,40
852,46020,9.0,16.0,115.0,36
853,46060,111.0,90.0,377.0,207
854,46100,8.0,9.0,25.0,20
855,46140,169.0,296.0,1027.0,770
856,46180,27.0,45.0,132.0,95
857,46220,37.0,81.0,124.0,118
858,46300,15.0,7.0,43.0,33
859,46340,25.0,35.0,106.0,89
860,46380,8.0,8.0,42.0,26
861,46460,3.0,2.0,16.0,9
862,46500,2.0,7.0,10.0,9
863,46520,13.0,31.0,73.0,70
864,46540,19.0,37.0,176.0,144
865,46620,2.0,4.0,24.0,5
866,46660,14.0,46.0,116.0,101
867,46700,39.0,63.0,149.0,133
868,46740,10.0,21.0,27.0,25
869,46780,0.0,2.0,5.0,5
870,46820,1.0,0.0,1.0,1
871,46860,10.0,10.0,26.0,24
872,46900,2.0,1.0,6.0,6
873,46980,20.0,44.0,92.0,58
874,47020,6.0,2.0,11.0,11
875,47080,8.0,7.0,17.0,16
876,47180,2.0,4.0,7.0,7
877,47220,24.0,59.0,170.0,142
878,47240,10.0,24.0,262.0,209
879,47260,228.0,705.0,1206.0,1019
880,47300,57.0,54.0,202.0,148
881,47340,3.0,1.0,4.0,4
882,47380,34.0,28.0,98.0,87
883,47420,4.0,4.0,10.0,7
884,47460,2.0,1.0,10.0,10
885,47540,1.0,0.0,2.0,2
886,47580,31.0,41.0,99.0,89
887,47620,4.0,2.0,5.0,5
888,47660,9.0,9.0,19.0,17
889,47700,3.0,10.0,46.0,28
890,47780,2.0,1.0,44.0,13
891,47820,5.0,18.0,34.0,23
892,47900,425.0,836.0,3459.0,2318
893,47920,4.0,7.0,6.0,6
894,47940,16.0,62.0,351.0,285
895,47980,2.0,2.0,5.0,5
896,48020,9.0,3.0,14.0,14
897,48060,5.0,7.0,44.0,41
898,48100,1.0,1.0,2.0,2
899,48140,7.0,4.0,58.0,29
900,48180,0.0,0.0,12.0,2
901,48220,6.0,4.0,14.0,12
