,City,State,CBSA Code,CBSA Title
324,Dickinson,North Dakota,19860,"Dickinson, ND"
325,Dixon,Illinois,19940,"Dixon, IL"
326,Dodge City,Kansas,19980,"Dodge City, KS"
327,Dothan,Alabama,20020,"Dothan, AL"
328,Douglas,Georgia,20060,"Douglas, GA"
329,Dover,Delaware,20100,"Dover, DE"
330,Dublin,Georgia,20140,"Dublin, GA"
331,DuBois,Pennsylvania,20180,"DuBois, PA"
332,Dubuque,Iowa,20220,"Dubuque, IA"
333,Duluth,Minnesota,20260,"Duluth, MN-WI"
334,Dumas,Texas,20300,"Dumas, TX"
335,Duncan,Oklahoma,20340,"Duncan, OK"
336,Dunn,North Carolina,20380,"Dunn, NC"
337,Durango,Colorado,20420,"Durango, CO"
338,Durant,Oklahoma,20460,"Durant, OK"
339,Chapel Hill,North Carolina,20500,"Durham-Chapel Hill, NC"
340,Durham,North Carolina,20500,"Durham-Chapel Hill, NC"
341,Dyersburg,Tennessee,20540,"Dyersburg, TN"
342,Eagle Pass,Texas,20580,"Eagle Pass, TX"
343,Easton,Maryland,20660,"Easton, MD"
344,East Stroudsburg,Pennsylvania,20700,"East Stroudsburg, PA"
345,Eau Claire,Wisconsin,20740,"Eau Claire, WI"
346,Edwards,Colorado,20780,"Edwards, CO"
347,Effingham,Illinois,20820,"Effingham, IL"
348,El Campo,Texas,20900,"El Campo, TX"
349,El Centro,California,20940,"El Centro, CA"
350,El Dorado,Arkansas,20980,"El Dorado, AR"
351,Elizabeth City,North Carolina,21020,"Elizabeth City, NC"
352,Elizabethtown,Kentucky,21060,"Elizabethtown-Fort Knox, KY"
353,Fort Knox,Kentucky,21060,"Elizabethtown-Fort Knox, KY"
354,Elk City,Oklahoma,21120,"Elk City, OK"
355,Elkhart,Indiana,21140,"Elkhart-Goshen, IN"
356,Goshen,Indiana,21140,"Elkhart-Goshen, IN"
357,Elkins,West Virginia,21180,"Elkins, WV"
358,Elko,Nevada,21220,"Elko, NV"
359,Ellensburg,Washington,21260,"Ellensburg, WA"
360,Elmira,New York,21300,"Elmira, NY"
361,El Paso,Texas,21340,"El Paso, TX"
362,Emporia,Kansas,21380,"Emporia, KS"
363,Enid,Oklahoma,21420,"Enid, OK"
364,Enterprise,Alabama,21460,"Enterprise, AL"
365,Erie,Pennsylvania,21500,"Erie, PA"
366,Escanaba,Michigan,21540,"Escanaba, MI"
367,Española,New Mexico,21580,"Española, NM"
368,Eufaula,Alabama,21640,"Eufaula, AL-GA"
369,Eugene,Oregon,21660,"Eugene, OR"
370,Arcata,California,21700,"Eureka-Arcata-Fortuna, CA"
371,Eureka,California,21700,"Eureka-Arcata-Fortuna, CA"
372,Fortuna,California,21700,"Eureka-Arcata-Fortuna, CA"
373,Evanston,Wyoming,21740,"Evanston, WY"
